--file;{plink};Specify .ped and .map files;
--ped;{plink.ped};Specify .ped file;
--map;{plink.map};Specify .map file;
--no-sex;;PED file does not contain column 5 (sex);
--no-parents;;PED file does not contain columns 3,4 (parents);
--no-fid;;PED file does not contain column 1 (family ID);
--no-pheno;;PED file does not contain column 6 (phenotype);
--liability;;PED file does contain liability (column 7);
--map3;;Specify 3-column MAP file format;
--tfile;{plink};Specify .tped and .tfam files;
--tped;{plink.tped};Specify .tped file;
--tfam;{plink.tfam};Specify .tfam file;
--lfile;{plink};Specify long-format: LGEN, FAM and MAP;
--bfile;{plink};Specify .bed, .bim and .fam;
--bed;{plink.bed};Specify .bed file;
--bim;{plink.bim};Specify .bim file;
--fam;{plink.fam};Specify .fam file;
--out;{plink};Specify output root filename;
--silent;;Suppress output to console;
--pheno;{phenofile};Specify alternate phenotype;
--make-pheno;{file} {value};Specify binary phenotype, with cases have value;
--make-pheno;{file} *;Specify binary phenotype, with cases are present;
--mpheno;{var #};Specify which, if >1 phenotype column;
--pheno-name;{var name};Instead of --mpheno, if a header row exists;
--all-pheno;;Perform association for all phenotypes in file;
--loop-assoc;{clusterfile};Perform association for each level of cluster versis all others;
--covar;{covarfile};Specify covariate;
--mcovar;{var #};Specify which, if >1 covariate column (for use with --gxe);
--covar-name;{list};Specify 1 or more covariates by name;
--covar-number;{list};Specify 1 or more covariates by number;
--within;{filename};Specify clustering scheme;
--mwithin;{var #};Specify which, if >1 cluster column;
--script;{filename};Include command-line options from file;
--chr;{N};Select a particular chromosome N;
--gene;{name};Select a particular gene, given a SET file (--set);
--from;{SNP};Select range from this SNP ...;
--to;{SNP};... to this SNP (must be on same chromosome);
--snps;{SNP list};Select comma-delimited list of SNPs, allowing for ranges, e.g. snp1,snp2,snp6-snp12;
--snp;{SNP};Select this SNP ...;
--window;{kb};... and (optionally) all SNPs in the surrounding kb window;
--from-bp;{bp};Select SNPs within this window...;
--to-bp;{bp};... specified in base-pair position;
--from-kb;{kb};Select SNPs within this window...;
--to-kb;{kb};... specified in kilobases;
--from-mb;{mb};Select SNPs within this window...;
--to-mb;{mb};... specified in megabases;
--extract;{snplist};Extract list of SNPs;
--exclude;{snplist};Exclude list of SNPs;
--keep;{indlist};Keep only these individuals;
--remove;{indlist};Remove these individuals;
--keep-before-remove;;Perform keep before remove (default opposite);
--exclude-before-extract;;Perform exclude before extract (default opposite);
--filter;{filename} {value};Filter individuals matching value;
--mfilter;{var #};Specify filter value, if >1 filter column;
--filter-cases;;Include only cases;
--filter-controls;;Include only controls;
--filter-males;;Include only males;
--filter-females;;Include only females;
--filter-founders;;Include only founders;
--filter-nonfounders;;Include only nonfounders;
--prune;;Remove individuals with missing phenotypes;
--make-bed;;Make .bed, .fam and .bim;
--recode;;Output new .ped and .map files;
--recode12;;As above, with 1/2 allele coding;
--recode-rlist;;List individuals with minor allele genotypes;
--recode-lgen;;Output data in long LGEN format;
--recodeHV;;As above, with Haploview .info file;
--recode-fastphase;;Ouput fastphase format file;
--recode-bimbam;;Ouput bimbam format file;
--recode-structure;;Ouput structure format file;
--recodeA;;Raw data file with additive coding;
--recodeAD;;Raw data file with additive/dominance coding;
--tab;;Delimit --recode and --recode12 with tabs;
--list;;Output one genotype per line, list of FIDs and IIDs;
--plist;{FID1 IID1 FID2 IID2};Pairwise listing of genotypes for two individuals;
--write-snplist;;List only the (filtered) SNPs in the dataset;
--update-map;{filename};Update physical positions in a map file;
--update-cm;;Update genetic distances in a map file;
--update-name;;Update SNP names in a map file;
--update-chr;;Update chromosome codes in a map file;
--update-ids;{file};Update FIDs and IIDs in a file;
--update-sex;{file};Update sex information in a file;
--update-parents;{file};Update parent codes in a file;
--write-covar;;Output ordered, filtered covariate file;
--with-phenotype;;Include PED/phenotype information in new covariate file;
--dummy-coding;;Downcode categorical covariates to binary dummy variables;
--merge;{pedfile}, {mapfile};Merge in a PED/MAP fileset;
--bmerge;{bedfile}, {bimfile}, {famfile};Merge in a binary fileset;
--merge-list;{list file};Merge multiple standard and/or binary filesets;
--merge-mode;{1};Specify merge mode (1-7);
--zero-cluster;{filename};Zero-out specific SNPs for specific clusters;
--oblig-missing;{filename};SNPs/clusters that are obligatory missing;
--oblig-cluster;{filename};Individuals/clusters defining obligatory missingness;
--flip;{snplist};Flip strand of SNPs in list;
--flip-subset;{individual-list};Flip strand of SNPs only for these individuals in list;
--flip-scan;;LD-based heuristic to look for SNPs flipped between cases and controls;
--1;;0/1 unaffected/affected coding;
--compound-genotypes;;Use AA, AG, 00 coding (no spaces between alleles in PED file);
--missing-phenotype;{-9};Missing phenotype code;
--missing-genotype;{0};Missing genotype code;
--output-missing-phenotype;{-9};Missing phenotype code for output;
--output-missing-genotype;{0};Missing genotype code for output;
--allele1234;;Convert (A,C,G,T) to (1,2,3,4);
--alleleACGT;;Convert (1,2,3,4) to (A,C,G,T);
--update-alleles;{file};Update allele codes in a file;
--reference-allele;{file};Force a particular reference (A1) allele;
--keep-allele-order;;Do not flip A1 to be the minor allele;
--allow-no-sex;;Do not set ambiguously-sexed individuals missing;
--must-have-sex;;When making a new dataset, do set ambiguously-sexed individuals missing;
--set-hh-missing;;Making new fileset, set heterozygous haploids missing;
--set-me-missing;;Making new fileset, set Mendel errors missing;
--make-founders;;Set non-founders without two parents to founders;
--pedigree;;When performing TDT, dump parsed family structure;
--tucc;;Make pseudo case/control pairs form trio data;
--freq;;Allele frequencies;
--counts;;Modifies --freq to report actual allele counts;
--nonfounders;;Include all individuals in MAF/HWE calculations;
--missing;;Missing rates (per individual, per SNP);
--test-missing;;Test of missingness differing by case/control status;
--test-mishap;;Haplotype-based test for non-random missingness;
--cluster-missing;;IBM clustering;
--hardy;;Report Hardy-Weinberg disequilibrium tests (exact);
--hardy2;;Report Hardy-Weinberg disequilibrium tests (asymptotic);
--mendel;;Report Mendel error checks;
--check-sex;;Use X chromosome data to check an individual's assigned sex;
--impute-sex;;Use X chromosome data to impute an individual's assigned sex;
--within;{cluster file};Stratify frequencies and missing rates by clusters;
--maf;{0.01};Minor allele frequency;
--max-maf;{1};Maximum minor allele frequency;
--geno;{0.1};Maximum per-SNP missing;
--mind;{0.1};Maximum per-person missing;
--hwe;{0.001};Hardy-Weinberg disequilibrium p-value (exact);
--HWE2;{0.001};Hardy-Weinberg disequilibrium p-value (asymptotic);
--hwe-all;;HW filtering based on all founder individuals for binary trait (instead of just unaffecteds);
--me;{0.1} {0.1};Mendel error rate thresholds (per SNP, per family);
--cell;{5};Minimum genotype cell count for --model;
--min;{0};Minimum pi-hat for --genome output;
--max;{1};Maximum pi-hat for --genome output;
--qual-scores;{file};SNP based quality scores filter;
--qual-threshold;{0.8};SNP quality score threshold;
--qual-max-threshold;{1};SNP maximum quality scores threshold;
--qual-geno-scores;{file};Genotype-based quality scores filter;
--qual-geno-threshold;{0.8};Genotype quality score threshold;
--qual-geno-max-threshold;{1};Genotype maximum quality scores threshold;
--genome;;Calculate IBS distances between all individuals;
--cluster;;Perform clustering;
--matrix;;Output IBS (similarity) matrix;
--distance-matrix;;Output 1-IBS (distance) matrix;
--mc;{0};Maximum cluster size;
--cc;;Cluster by phenotype;
--mcc;{0 0};Maximum number of cases/controls per cluster;
--ibm;{0.01};Constrain IBS matching on IBM matching;
--ppc;{0.01};IBS test p-value threshold (was --pmerge);
--ppc-gap;{500kb};Skip SNPs within this for PPC test;
--match;{match-file};Specify external categorical matching criteria;
--match-type;{match-type-file};Specify external categorical matching direction (+/- match);
--qmatch;{match-file};Specify external quantitative matching criteria;
--qt;{threshold-file};Specify quantitative matching thresholds;
--neighbour;{N} {M};Outlier statistics (for nearest neighbours N to M);
--genome;;Output genome-wide IBS/IBD;
--rel-check;;Only calculate IBS/IBD for members of same family (FID);
--read-genome;{genome-file};Read previously-computed genome values;
